41;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Económicas y Administrativas;Negocios Internacionales;Presencial;8;140
42;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Económicas y Administrativas;Administración de Empresas;Presencial;9;174
43;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Económicas y Administrativas;Estadística;Presencial;9;140
44;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Económicas y Administrativas;Contaduría Pública;Virtual;8;140
45;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Económicas y Administrativas;Finanzas;Virtual;8;144
46;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Económicas y Administrativas;Marketing y transformación Digital;Virtual;8;144
47;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Económicas y Administrativas;Economía;Virtual;8;144
48;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Económicas y Administrativas;Administración de Negocios Sostenibles;Virtual;8;144
49;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Económicas y Administrativas;Administración de Produccion y Logistica Internacional;Virtual;8;144
50;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Humanas;Filosofía y Humanidades;Presencial;8;107
51;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Humanas;Biología;Presencial;9;155
52;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias de la Educación;Licenciatura en Bilingüismo con Éfasis en la Enseñanza del Inglés;Presencial;10;158
53;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias de la Educación;Licenciatura en Educación infantil;Presencial;10;184
54;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias de la Educación;Interprete Profesional de la Lengua de Señas Colombiana;Virtual;8;140
55;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Sociales;Ciencia Política y Gobierno;Presencial;8;128
56;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Ciencias Sociales;Derecho;Presencial;10;178
57;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Medicina y Ciencias de la Salud;Enfermería;Presencial;10;190
